Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,903.30","39,818.80","40,801.66","40,146.07","42,927.73","45,310.91","48,118.31","49,904.90",2015
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,273.91","4,341.04","4,425.69","4,259.26","4,358.27","4,528.16","4,753.92","5,002.53",2018
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,186.71","9,749.07","9,750.43","8,732.64","9,827.64","10,232.26","10,783.08","11,266.22",2019
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,737.80","1,888.20","2,004.42","2,039.05","2,129.31","2,214.09","2,322.91","2,445.89",2019
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,656.63","1,748.65","1,695.30","1,687.51","1,917.50","1,981.35","2,039.03","2,083.07",2017
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,600.73","33,433.17","31,846.28","31,496.77","34,865.72","36,368.60","37,938.85","39,563.96",2019
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,027.27","4,432.56","4,418.54","4,309.84","4,855.72","5,261.98","5,554.83","5,866.72",0
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,193.90","30,436.42","28,339.16","22,105.09","25,289.93","25,141.63","25,093.85","25,233.73",2018
Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,254.51","1,321.95","1,323.47","1,146.39","1,122.57","1,165.69","1,214.31","1,261.80",2019
Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,452.97","2,567.89","2,625.49","2,625.53","2,773.08","2,929.55","3,093.26","3,263.95",2019
Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,613.44","17,799.83","17,739.47","17,559.86","19,824.23","21,573.09","22,869.08","24,160.67",2019
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,792.60","8,012.54","7,668.34","2,802.14",n/a,n/a,n/a,n/a,2012
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,166.07","1,140.51","1,117.39","1,002.98","1,177.93","1,250.14","1,312.21","1,350.33",2016
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",766.314,731.317,669.271,646.27,700.469,748.835,764.24,800.205,2016
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,685.07","6,361.58","6,055.46","3,280.83","3,616.57","3,821.92","4,052.29","4,155.02",2017
